时间t	称重电压
0.0000	0.00030750
0.1111	0.00030750
0.2222	0.00030758
0.3333	0.00030746
0.4444	0.00030755
0.5556	0.00030760
0.6667	0.00030765
0.7778	0.00030771
0.8889	0.00030756
1.0000	0.00030754
1.1111	0.00030753
1.2222	0.00030749
1.3333	0.00030756
1.4444	0.00030757
1.5556	0.00030759
1.6667	0.00030760
1.7778	0.00030760
1.8889	0.00030749
2.0000	0.00030763
2.1111	0.00030762
2.2222	0.00030745
2.3333	0.00030679
2.4444	0.00030746
2.5556	0.00030753
2.6667	0.00030754
2.7778	0.00030753
2.8889	0.00030770
3.0000	0.00030757
3.1111	0.00030750
3.2222	0.00030754
3.3333	0.00030764
3.4444	0.00030767
3.5556	0.00030752
3.6667	0.00030762
3.7778	0.00030759
3.8889	0.00030755
4.0000	0.00030762
4.1111	0.00030754
4.2222	0.00030753
4.3333	0.00030748
4.4444	0.00030760
4.5556	0.00030744
4.6667	0.00030742
4.7778	0.00030752
4.8889	0.00030751
5.0000	0.00030746
5.1111	0.00030757
5.2222	0.00030770
5.3333	0.00030760
5.4444	0.00030761
5.5556	0.00030763
5.6667	0.00030749
5.7778	0.00030753
5.8889	0.00030761
6.0000	0.00030754
6.1111	0.00030756
6.2222	0.00030749
6.3333	0.00030755
6.4444	0.00030746
6.5556	0.00030752
6.6667	0.00030752
6.7778	0.00030746
6.8889	0.00030760
7.0000	0.00030748
7.1111	0.00030756
7.2222	0.00030756
7.3333	0.00030756
7.4444	0.00030755
7.5556	0.00030767
7.6667	0.00030755
7.7778	0.00030764
7.8889	0.00030757
8.0000	0.00030759
8.1111	0.00030762
8.2222	0.00030758
8.3333	0.00030759
8.4444	0.00030764
8.5556	0.00030779
8.6667	0.00030772
8.7778	0.00030756
8.8889	0.00030747
9.0000	0.00030758
9.1111	0.00030753
9.2222	0.00030759
9.3333	0.00030766
9.4444	0.00030757
9.5556	0.00030762
9.6667	0.00030755
9.7778	0.00030750
9.8889	0.00030737
10.0000	0.00030755
10.1111	0.00030766
10.2222	0.00030758
10.3333	0.00030754
10.4444	0.00030742
10.5556	0.00030739
10.6667	0.00030756
10.7778	0.00030756
