时间t	称重电压
0.0000	0.00025783
0.1111	0.00025785
0.2222	0.00025783
0.3333	0.00025779
0.4444	0.00025779
0.5556	0.00025773
0.6667	0.00025773
0.7778	0.00025779
0.8889	0.00025791
1.0000	0.00025788
1.1111	0.00025785
1.2222	0.00025780
1.3333	0.00025784
1.4444	0.00025788
1.5556	0.00025791
1.6667	0.00025779
1.7778	0.00025778
1.8889	0.00025772
2.0000	0.00025782
2.1111	0.00025776
2.2222	0.00025802
2.3333	0.00025783
2.4444	0.00025776
2.5556	0.00025786
2.6667	0.00025775
2.7778	0.00025785
2.8889	0.00025780
3.0000	0.00025792
3.1111	0.00025772
3.2222	0.00025783
3.3333	0.00025793
3.4444	0.00025775
3.5556	0.00025785
3.6667	0.00025767
3.7778	0.00025784
3.8889	0.00025776
4.0000	0.00025776
4.1111	0.00025783
4.2222	0.00025783
4.3333	0.00025777
4.4444	0.00025782
4.5556	0.00025781
4.6667	0.00025772
4.7778	0.00025767
4.8889	0.00025780
5.0000	0.00025786
5.1111	0.00025778
5.2222	0.00025782
5.3333	0.00025775
5.4444	0.00025788
5.5556	0.00025787
5.6667	0.00025780
5.7778	0.00025786
5.8889	0.00025782
6.0000	0.00025778
6.1111	0.00025778
6.2222	0.00025786
6.3333	0.00025779
6.4444	0.00025790
6.5556	0.00025759
6.6667	0.00025781
6.7778	0.00025778
6.8889	0.00025773
7.0000	0.00025783
7.1111	0.00025789
7.2222	0.00025786
7.3333	0.00025767
7.4444	0.00025784
7.5556	0.00025776
7.6667	0.00025779
7.7778	0.00025783
7.8889	0.00025782
8.0000	0.00025777
8.1111	0.00025779
8.2222	0.00025782
8.3333	0.00025783
8.4444	0.00025774
8.5556	0.00025785
8.6667	0.00025780
8.7778	0.00025777
8.8889	0.00025783
9.0000	0.00025773
9.1111	0.00025784
9.2222	0.00025781
9.3333	0.00025780
9.4444	0.00025791
9.5556	0.00025773
9.6667	0.00025786
9.7778	0.00025776
9.8889	0.00025781
10.0000	0.00025805
10.1111	0.00025788
10.2222	0.00025779
10.3333	0.00025788
10.4444	0.00025771
10.5556	0.00025764
10.6667	0.00025776
10.7778	0.00025787
10.8889	0.00025773
11.0000	0.00025781
11.1111	0.00025771
11.2222	0.00025770
11.3333	0.00025786
11.4444	0.00025783
11.5556	0.00025782
11.6667	0.00025784
11.7778	0.00025775
11.8889	0.00025776
12.0000	0.00025785
12.1111	0.00025779
12.2222	0.00025778
12.3333	0.00025779
12.4444	0.00025784
12.5556	0.00025780
12.6667	0.00025784
12.7778	0.00025793
12.8889	0.00025774
13.0000	0.00025779
13.1111	0.00025767
13.2222	0.00025805
13.3333	0.00025769
13.4444	0.00025763
13.5556	0.00025793
13.6667	0.00025792
13.7778	0.00025783
13.8889	0.00025780
14.0000	0.00025778
14.1111	0.00025767
14.2222	0.00025781
14.3333	0.00025756
14.4444	0.00025802
14.5556	0.00025787
14.6667	0.00025781
14.7778	0.00025788
14.8889	0.00025775
15.0000	0.00025783
15.1111	0.00025786
15.2222	0.00025781
15.3333	0.00025795
15.4444	0.00025785
15.5556	0.00025775
15.6667	0.00025788
15.7778	0.00025796
15.8889	0.00025788
16.0000	0.00025781
16.1111	0.00025775
16.2222	0.00025778
16.3333	0.00025775
16.4444	0.00025791
16.5556	0.00025775
16.6667	0.00025790
16.7778	0.00025778
16.8889	0.00025786
17.0000	0.00025787
17.1111	0.00025782
17.2222	0.00025793
17.3333	0.00025779
17.4444	0.00025782
17.5556	0.00025785
17.6667	0.00025776
17.7778	0.00025776
17.8889	0.00025781
18.0000	0.00025774
18.1111	0.00025782
18.2222	0.00025782
18.3333	0.00025780
18.4444	0.00025779
18.5556	0.00025786
18.6667	0.00025787
18.7778	0.00025779
18.8889	0.00025776
19.0000	0.00025782
19.1111	0.00025781
19.2222	0.00025782
19.3333	0.00025787
19.4444	0.00025779
19.5556	0.00025774
19.6667	0.00025785
19.7778	0.00025779
19.8889	0.00025781
20.0000	0.00025794
20.1111	0.00025785
20.2222	0.00025783
20.3333	0.00025780
20.4444	0.00025775
20.5556	0.00025778
20.6667	0.00025786
20.7778	0.00025786
20.8889	0.00025791
21.0000	0.00025783
21.1111	0.00025772
21.2222	0.00025781
21.3333	0.00025788
21.4444	0.00025770
21.5556	0.00025792
21.6667	0.00025785
21.7778	0.00025777
21.8889	0.00025782
22.0000	0.00025782
22.1111	0.00025784
22.2222	0.00025788
22.3333	0.00025782
22.4444	0.00025783
22.5556	0.00025782
22.6667	0.00025810
22.7778	0.00025780
22.8889	0.00025795
23.0000	0.00025784
23.1111	0.00025773
23.2222	0.00025784
23.3333	0.00025779
23.4444	0.00025777
23.5556	0.00025779
23.6667	0.00025792
23.7778	0.00025787
23.8889	0.00025771
24.0000	0.00025785
24.1111	0.00025775
24.2222	0.00025785
24.3333	0.00025797
24.4444	0.00025789
24.5556	0.00025783
24.6667	0.00025788
24.7778	0.00025779
24.8889	0.00025788
25.0000	0.00025784
25.1111	0.00025779
25.2222	0.00025795
25.3333	0.00025776
25.4444	0.00025781
25.5556	0.00025774
25.6667	0.00025775
25.7778	0.00025781
25.8889	0.00025787
26.0000	0.00025784
26.1111	0.00025775
26.2222	0.00025776
26.3333	0.00025781
26.4444	0.00025779
26.5556	0.00025788
26.6667	0.00025772
26.7778	0.00025783
26.8889	0.00025775
27.0000	0.00025775
27.1111	0.00025788
27.2222	0.00025783
27.3333	0.00025782
27.4444	0.00025787
27.5556	0.00025782
27.6667	0.00025791
27.7778	0.00025782
27.8889	0.00025787
28.0000	0.00025791
28.1111	0.00025794
28.2222	0.00025781
28.3333	0.00025788
28.4444	0.00025779
