时间t	称重电压
0.0000	0.00033212
0.1111	0.00033237
0.2222	0.00033239
0.3333	0.00033214
0.4444	0.00033236
0.5556	0.00033230
0.6667	0.00033231
0.7778	0.00033233
0.8889	0.00033191
1.0000	0.00033188
1.1111	0.00033229
1.2222	0.00033233
1.3333	0.00033230
1.4444	0.00033235
1.5556	0.00033235
1.6667	0.00033236
1.7778	0.00033234
1.8889	0.00033234
2.0000	0.00033227
2.1111	0.00033238
2.2222	0.00033234
2.3333	0.00033236
2.4444	0.00033235
2.5556	0.00033250
2.6667	0.00033240
2.7778	0.00033231
2.8889	0.00033229
3.0000	0.00033248
3.1111	0.00033232
3.2222	0.00033222
3.3333	0.00033238
3.4444	0.00033249
3.5556	0.00033233
3.6667	0.00033231
3.7778	0.00033231
3.8889	0.00033228
4.0000	0.00033223
4.1111	0.00033233
4.2222	0.00033239
4.3333	0.00033234
4.4444	0.00033232
4.5556	0.00033234
4.6667	0.00033227
4.7778	0.00033229
4.8889	0.00033231
5.0000	0.00033225
5.1111	0.00033240
5.2222	0.00033224
5.3333	0.00033228
5.4444	0.00033235
5.5556	0.00033235
5.6667	0.00033233
5.7778	0.00033232
5.8889	0.00033230
6.0000	0.00033228
6.1111	0.00033227
6.2222	0.00033236
6.3333	0.00033233
6.4444	0.00033225
6.5556	0.00033218
6.6667	0.00033237
6.7778	0.00033230
6.8889	0.00033232
7.0000	0.00033224
7.1111	0.00033210
7.2222	0.00033229
7.3333	0.00033216
7.4444	0.00033241
7.5556	0.00033229
7.6667	0.00033228
7.7778	0.00033231
7.8889	0.00033231
8.0000	0.00033241
8.1111	0.00033221
8.2222	0.00033242
8.3333	0.00033234
8.4444	0.00033230
8.5556	0.00033232
8.6667	0.00033230
8.7778	0.00033231
8.8889	0.00033223
9.0000	0.00033230
9.1111	0.00033239
9.2222	0.00033237
9.3333	0.00033230
9.4444	0.00033243
9.5556	0.00033224
9.6667	0.00033228
9.7778	0.00033227
9.8889	0.00033234
10.0000	0.00033243
10.1111	0.00033229
10.2222	0.00033241
10.3333	0.00033239
10.4444	0.00033234
10.5556	0.00033243
10.6667	0.00033241
10.7778	0.00033232
10.8889	0.00033233
11.0000	0.00033258
11.1111	0.00033244
11.2222	0.00033233
11.3333	0.00033240
11.4444	0.00033242
11.5556	0.00033243
11.6667	0.00033232
11.7778	0.00033230
11.8889	0.00033230
12.0000	0.00033223
12.1111	0.00033229
12.2222	0.00033230
12.3333	0.00033239
12.4444	0.00033231
12.5556	0.00033235
12.6667	0.00033247
12.7778	0.00033231
12.8889	0.00033229
13.0000	0.00033218
13.1111	0.00033237
13.2222	0.00033233
13.3333	0.00033246
13.4444	0.00033225
13.5556	0.00033232
13.6667	0.00033208
13.7778	0.00033234
13.8889	0.00033234
14.0000	0.00033318
14.1111	0.00033268
14.2222	0.00033288
14.3333	0.00033278
14.4444	0.00033261
14.5556	0.00033245
14.6667	0.00033274
14.7778	0.00033272
14.8889	0.00033247
15.0000	0.00033252
15.1111	0.00033239
15.2222	0.00033230
15.3333	0.00033244
15.4444	0.00033227
15.5556	0.00033225
15.6667	0.00033243
15.7778	0.00033240
15.8889	0.00033244
16.0000	0.00033237
16.1111	0.00033237
16.2222	0.00033242
16.3333	0.00033276
16.4444	0.00033232
16.5556	0.00033229
16.6667	0.00033225
16.7778	0.00033235
16.8889	0.00033228
17.0000	0.00033244
17.1111	0.00033242
17.2222	0.00033231
17.3333	0.00033234
17.4444	0.00033237
17.5556	0.00033204
17.6667	0.00033215
17.7778	0.00033229
17.8889	0.00033223
18.0000	0.00033225
18.1111	0.00033215
18.2222	0.00033234
18.3333	0.00033215
18.4444	0.00033220
18.5556	0.00033229
18.6667	0.00033229
18.7778	0.00033222
18.8889	0.00033312
19.0000	0.00033270
19.1111	0.00033247
19.2222	0.00033238
19.3333	0.00033246
19.4444	0.00033241
19.5556	0.00033230
19.6667	0.00033232
19.7778	0.00033244
19.8889	0.00033235
20.0000	0.00033236
20.1111	0.00033231
20.2222	0.00033244
20.3333	0.00033252
20.4444	0.00033230
20.5556	0.00033224
20.6667	0.00033230
20.7778	0.00033225
20.8889	0.00033239
21.0000	0.00033240
21.1111	0.00033235
21.2222	0.00033235
21.3333	0.00033237
21.4444	0.00033246
21.5556	0.00033228
21.6667	0.00033242
21.7778	0.00033229
21.8889	0.00033223
22.0000	0.00033224
22.1111	0.00033236
22.2222	0.00033235
22.3333	0.00033247
22.4444	0.00033230
22.5556	0.00033247
22.6667	0.00033249
22.7778	0.00033237
22.8889	0.00033243
23.0000	0.00033234
23.1111	0.00033212
23.2222	0.00033237
23.3333	0.00033229
23.4444	0.00033225
23.5556	0.00033238
23.6667	0.00033239
23.7778	0.00033226
23.8889	0.00033230
24.0000	0.00033238
24.1111	0.00033231
24.2222	0.00033244
24.3333	0.00033237
24.4444	0.00033228
24.5556	0.00033232
24.6667	0.00033220
24.7778	0.00033225
24.8889	0.00033231
25.0000	0.00033246
25.1111	0.00033215
25.2222	0.00033211
25.3333	0.00033244
25.4444	0.00033225
25.5556	0.00033229
25.6667	0.00033234
25.7778	0.00033246
25.8889	0.00033235
26.0000	0.00033239
26.1111	0.00033242
26.2222	0.00033237
26.3333	0.00033245
26.4444	0.00033242
26.5556	0.00033233
26.6667	0.00033242
26.7778	0.00033236
26.8889	0.00033231
27.0000	0.00033239
27.1111	0.00033233
27.2222	0.00033229
27.3333	0.00033234
27.4444	0.00033228
27.5556	0.00033224
27.6667	0.00033241
27.7778	0.00033206
27.8889	0.00033238
28.0000	0.00033240
28.1111	0.00033239
28.2222	0.00033234
28.3333	0.00033233
28.4444	0.00033231
28.5556	0.00033242
28.6667	0.00033241
28.7778	0.00033234
28.8889	0.00033238
29.0000	0.00033240
