时间t	称重电压
0.0000	0.00015893
0.1111	0.00015888
0.2222	0.00015891
0.3333	0.00015886
0.4444	0.00015879
0.5556	0.00015879
0.6667	0.00015870
0.7778	0.00015888
0.8889	0.00015890
1.0000	0.00015889
1.1111	0.00015884
1.2222	0.00015893
1.3333	0.00015887
1.4444	0.00015889
1.5556	0.00015881
1.6667	0.00015887
1.7778	0.00015892
1.8889	0.00015889
2.0000	0.00015885
2.1111	0.00015877
2.2222	0.00015876
2.3333	0.00015889
2.4444	0.00015884
2.5556	0.00015874
2.6667	0.00015880
2.7778	0.00015879
2.8889	0.00015876
3.0000	0.00015882
3.1111	0.00015881
3.2222	0.00015867
3.3333	0.00015889
3.4444	0.00015828
3.5556	0.00015825
3.6667	0.00015846
3.7778	0.00015838
3.8889	0.00015844
4.0000	0.00015857
4.1111	0.00015853
4.2222	0.00015862
4.3333	0.00015848
4.4444	0.00015844
4.5556	0.00015854
4.6667	0.00015862
4.7778	0.00015857
4.8889	0.00015863
5.0000	0.00015856
5.1111	0.00015859
5.2222	0.00015858
5.3333	0.00015859
5.4444	0.00015846
5.5556	0.00015862
5.6667	0.00015856
5.7778	0.00015861
5.8889	0.00015850
6.0000	0.00015860
6.1111	0.00015861
6.2222	0.00015848
6.3333	0.00015865
6.4444	0.00015857
6.5556	0.00015851
6.6667	0.00015853
6.7778	0.00015863
6.8889	0.00015854
7.0000	0.00015845
7.1111	0.00015860
7.2222	0.00015853
7.3333	0.00015866
7.4444	0.00015857
7.5556	0.00015857
7.6667	0.00015852
7.7778	0.00015850
7.8889	0.00015872
8.0000	0.00015856
8.1111	0.00015866
8.2222	0.00015860
8.3333	0.00015857
8.4444	0.00015854
8.5556	0.00015855
8.6667	0.00015856
8.7778	0.00015859
8.8889	0.00015864
9.0000	0.00015853
9.1111	0.00015860
9.2222	0.00015867
9.3333	0.00015858
9.4444	0.00015851
9.5556	0.00015862
9.6667	0.00015844
9.7778	0.00015850
9.8889	0.00015856
10.0000	0.00015861
10.1111	0.00015867
10.2222	0.00015865
10.3333	0.00015863
10.4444	0.00015867
10.5556	0.00015860
10.6667	0.00015864
10.7778	0.00015855
10.8889	0.00015859
11.0000	0.00015857
11.1111	0.00015853
11.2222	0.00015854
11.3333	0.00015862
11.4444	0.00015862
11.5556	0.00015865
11.6667	0.00015866
11.7778	0.00015860
11.8889	0.00015874
12.0000	0.00015862
12.1111	0.00015864
12.2222	0.00015851
12.3333	0.00015861
12.4444	0.00015858
12.5556	0.00015861
12.6667	0.00015865
12.7778	0.00015865
12.8889	0.00015867
13.0000	0.00015844
13.1111	0.00015857
13.2222	0.00015853
13.3333	0.00015858
13.4444	0.00015853
13.5556	0.00015866
13.6667	0.00015859
13.7778	0.00015867
13.8889	0.00015860
14.0000	0.00015852
14.1111	0.00015869
14.2222	0.00015858
14.3333	0.00015863
14.4444	0.00015864
14.5556	0.00015866
14.6667	0.00015863
14.7778	0.00015860
14.8889	0.00015857
15.0000	0.00015859
15.1111	0.00015864
15.2222	0.00015865
15.3333	0.00015851
15.4444	0.00015866
15.5556	0.00015857
15.6667	0.00015853
15.7778	0.00015870
15.8889	0.00015858
16.0000	0.00015869
16.1111	0.00015864
16.2222	0.00015865
16.3333	0.00015859
16.4444	0.00015853
16.5556	0.00015856
16.6667	0.00015864
16.7778	0.00015857
16.8889	0.00015857
17.0000	0.00015853
17.1111	0.00015868
17.2222	0.00015865
17.3333	0.00015861
17.4444	0.00015869
17.5556	0.00015863
17.6667	0.00015866
17.7778	0.00015858
17.8889	0.00015864
18.0000	0.00015871
18.1111	0.00015857
18.2222	0.00015868
18.3333	0.00015855
18.4444	0.00015869
18.5556	0.00015855
18.6667	0.00015864
18.7778	0.00015860
18.8889	0.00015854
19.0000	0.00015862
19.1111	0.00015869
19.2222	0.00015856
19.3333	0.00015855
19.4444	0.00015854
19.5556	0.00015846
19.6667	0.00015863
19.7778	0.00015862
19.8889	0.00015860
20.0000	0.00015875
20.1111	0.00015868
20.2222	0.00015859
20.3333	0.00015863
20.4444	0.00015867
20.5556	0.00015861
20.6667	0.00015861
20.7778	0.00015850
20.8889	0.00015854
21.0000	0.00015856
21.1111	0.00015871
21.2222	0.00015854
21.3333	0.00015866
21.4444	0.00015864
21.5556	0.00015853
21.6667	0.00015864
21.7778	0.00015867
21.8889	0.00015864
22.0000	0.00015862
22.1111	0.00015866
22.2222	0.00015861
22.3333	0.00015872
22.4444	0.00015854
22.5556	0.00015857
22.6667	0.00015864
22.7778	0.00015862
22.8889	0.00015875
23.0000	0.00015864
23.1111	0.00015853
23.2222	0.00015870
23.3333	0.00015860
23.4444	0.00015856
23.5556	0.00015868
23.6667	0.00015857
23.7778	0.00015856
23.8889	0.00015854
24.0000	0.00015866
24.1111	0.00015859
24.2222	0.00015865
24.3333	0.00015863
24.4444	0.00015862
24.5556	0.00015858
24.6667	0.00015858
24.7778	0.00015865
24.8889	0.00015871
25.0000	0.00015868
25.1111	0.00015861
25.2222	0.00015863
25.3333	0.00015848
25.4444	0.00015860
25.5556	0.00015864
25.6667	0.00015867
25.7778	0.00015857
25.8889	0.00015856
26.0000	0.00015860
26.1111	0.00015859
26.2222	0.00015869
26.3333	0.00015849
26.4444	0.00015860
26.5556	0.00015843
26.6667	0.00015865
26.7778	0.00015869
26.8889	0.00015859
27.0000	0.00015853
27.1111	0.00015865
27.2222	0.00015873
27.3333	0.00015876
27.4444	0.00015869
27.5556	0.00015862
27.6667	0.00015849
27.7778	0.00015858
27.8889	0.00015867
28.0000	0.00015866
28.1111	0.00015868
28.2222	0.00015861
28.3333	0.00015862
28.4444	0.00015862
28.5556	0.00015863
28.6667	0.00015868
28.7778	0.00015870
28.8889	0.00015877
29.0000	0.00015860
29.1111	0.00015865
29.2222	0.00015863
29.3333	0.00015864
29.4444	0.00015874
29.5556	0.00015863
29.6667	0.00015864
29.7778	0.00015873
29.8889	0.00015867
30.0000	0.00015852
30.1111	0.00015864
30.2222	0.00015868
30.3333	0.00015866
30.4444	0.00015865
30.5556	0.00015864
30.6667	0.00015872
30.7778	0.00015863
30.8889	0.00015873
31.0000	0.00015860
31.1111	0.00015872
31.2222	0.00015857
31.3333	0.00015860
31.4444	0.00015855
31.5556	0.00015860
31.6667	0.00015871
31.7778	0.00015852
31.8889	0.00015860
32.0000	0.00015860
32.1111	0.00015862
32.2222	0.00015865
32.3333	0.00015867
32.4444	0.00015863
32.5556	0.00015869
32.6667	0.00015872
32.7778	0.00015860
32.8889	0.00015873
