时间t	称重电压
0.0000	0.00023285
0.1111	0.00023289
0.2222	0.00023291
0.3333	0.00023296
0.4444	0.00023287
0.5556	0.00023287
0.6667	0.00023280
0.7778	0.00023271
0.8889	0.00023292
1.0000	0.00023280
1.1111	0.00023289
1.2222	0.00023299
1.3333	0.00023286
1.4444	0.00023285
1.5556	0.00023284
1.6667	0.00023285
1.7778	0.00023283
1.8889	0.00023302
2.0000	0.00023291
2.1111	0.00023282
2.2222	0.00023283
2.3333	0.00023285
2.4444	0.00023275
2.5556	0.00023291
2.6667	0.00023281
2.7778	0.00023292
2.8889	0.00023288
3.0000	0.00023295
3.1111	0.00023274
3.2222	0.00023312
3.3333	0.00023267
3.4444	0.00023300
3.5556	0.00023285
3.6667	0.00023296
3.7778	0.00023289
3.8889	0.00023293
4.0000	0.00023296
4.1111	0.00023300
4.2222	0.00023267
4.3333	0.00023309
4.4444	0.00023308
4.5556	0.00023280
4.6667	0.00023286
4.7778	0.00023296
4.8889	0.00023290
5.0000	0.00023276
5.1111	0.00023291
5.2222	0.00023285
5.3333	0.00023285
5.4444	0.00023289
5.5556	0.00023286
5.6667	0.00023300
5.7778	0.00023287
5.8889	0.00023279
6.0000	0.00023298
6.1111	0.00023282
6.2222	0.00023301
6.3333	0.00023283
6.4444	0.00023289
6.5556	0.00023287
6.6667	0.00023285
6.7778	0.00023285
6.8889	0.00023295
7.0000	0.00023281
7.1111	0.00023289
7.2222	0.00023293
7.3333	0.00023298
7.4444	0.00023286
7.5556	0.00023288
7.6667	0.00023289
7.7778	0.00023291
7.8889	0.00023295
8.0000	0.00023293
8.1111	0.00023285
8.2222	0.00023286
8.3333	0.00023300
8.4444	0.00023292
8.5556	0.00023300
8.6667	0.00023291
8.7778	0.00023286
8.8889	0.00023291
9.0000	0.00023288
9.1111	0.00023296
9.2222	0.00023287
9.3333	0.00023289
9.4444	0.00023286
9.5556	0.00023289
9.6667	0.00023288
9.7778	0.00023281
9.8889	0.00023282
10.0000	0.00023287
10.1111	0.00023295
10.2222	0.00023286
10.3333	0.00023301
10.4444	0.00023287
10.5556	0.00023298
10.6667	0.00023289
10.7778	0.00023292
10.8889	0.00023294
11.0000	0.00023293
11.1111	0.00023289
11.2222	0.00023291
11.3333	0.00023289
11.4444	0.00023289
11.5556	0.00023286
11.6667	0.00023290
11.7778	0.00023287
11.8889	0.00023291
12.0000	0.00023289
12.1111	0.00023301
12.2222	0.00023301
12.3333	0.00023291
12.4444	0.00023298
12.5556	0.00023294
12.6667	0.00023299
12.7778	0.00023286
12.8889	0.00023297
13.0000	0.00023291
13.1111	0.00023284
13.2222	0.00023295
13.3333	0.00023298
13.4444	0.00023299
13.5556	0.00023294
13.6667	0.00023294
13.7778	0.00023304
13.8889	0.00023292
14.0000	0.00023295
14.1111	0.00023286
14.2222	0.00023301
14.3333	0.00023293
14.4444	0.00023293
14.5556	0.00023292
14.6667	0.00023297
14.7778	0.00023293
14.8889	0.00023288
15.0000	0.00023282
15.1111	0.00023297
15.2222	0.00023293
15.3333	0.00023291
15.4444	0.00023292
15.5556	0.00023296
15.6667	0.00023300
15.7778	0.00023289
15.8889	0.00023289
16.0000	0.00023291
16.1111	0.00023294
16.2222	0.00023293
16.3333	0.00023292
16.4444	0.00023300
16.5556	0.00023300
16.6667	0.00023286
16.7778	0.00023287
16.8889	0.00023295
17.0000	0.00023291
17.1111	0.00023289
17.2222	0.00023298
17.3333	0.00023294
17.4444	0.00023279
17.5556	0.00023295
17.6667	0.00023287
17.7778	0.00023293
17.8889	0.00023288
18.0000	0.00023295
18.1111	0.00023287
18.2222	0.00023283
18.3333	0.00023293
18.4444	0.00023290
18.5556	0.00023302
18.6667	0.00023290
18.7778	0.00023292
18.8889	0.00023291
19.0000	0.00023287
19.1111	0.00023291
19.2222	0.00023283
19.3333	0.00023297
19.4444	0.00023281
19.5556	0.00023295
19.6667	0.00023292
19.7778	0.00023300
19.8889	0.00023312
20.0000	0.00023295
20.1111	0.00023293
20.2222	0.00023288
20.3333	0.00023299
20.4444	0.00023302
20.5556	0.00023286
20.6667	0.00023292
20.7778	0.00023292
20.8889	0.00023302
21.0000	0.00023284
21.1111	0.00023295
21.2222	0.00023293
21.3333	0.00023293
21.4444	0.00023293
21.5556	0.00023298
21.6667	0.00023294
21.7778	0.00023283
21.8889	0.00023298
22.0000	0.00023298
22.1111	0.00023298
22.2222	0.00023292
22.3333	0.00023304
22.4444	0.00023289
22.5556	0.00023288
22.6667	0.00023292
22.7778	0.00023292
22.8889	0.00023301
23.0000	0.00023299
23.1111	0.00023286
23.2222	0.00023288
23.3333	0.00023295
23.4444	0.00023296
23.5556	0.00023304
23.6667	0.00023296
23.7778	0.00023296
23.8889	0.00023301
24.0000	0.00023293
24.1111	0.00023292
24.2222	0.00023284
24.3333	0.00023311
24.4444	0.00023316
24.5556	0.00023291
24.6667	0.00023289
24.7778	0.00023300
24.8889	0.00023301
25.0000	0.00023286
25.1111	0.00023305
25.2222	0.00023293
25.3333	0.00023298
25.4444	0.00023293
25.5556	0.00023289
25.6667	0.00023294
25.7778	0.00023295
25.8889	0.00023289
26.0000	0.00023297
26.1111	0.00023298
26.2222	0.00023296
26.3333	0.00023294
26.4444	0.00023290
26.5556	0.00023296
26.6667	0.00023292
26.7778	0.00023301
26.8889	0.00023297
27.0000	0.00023299
27.1111	0.00023288
27.2222	0.00023296
27.3333	0.00023308
27.4444	0.00023291
27.5556	0.00023293
27.6667	0.00023291
27.7778	0.00023298
27.8889	0.00023295
28.0000	0.00023282
28.1111	0.00023300
28.2222	0.00023302
28.3333	0.00023285
28.4444	0.00023298
